timestamp,modo,origen,destino,sha256_origen,estado
2026-08-29T18:16:13Z,exec,03_HANDOFF_AG2-P02-005.md,docs/handoffs/03_HANDOFF_AG2-P02-005.md,a73f3121e519492239308fd376c8c43fc9b6ac4df5af8ca50a029dd9490d9b9b,OK
2026-08-29T18:16:13Z,exec,P02-005_AGENT_LEDGER.md,docs/handoffs/P02-005_AGENT_LEDGER.md,07ac5592cb445e601a740d4774e95112a42256d461b584ecff1dc747e61ed926,OK
2026-08-29T18:16:13Z,exec,P02-005_RECON_REPORT.md,docs/handoffs/P02-005_RECON_REPORT.md,1ca70ccfe8ca5728150d521b2ff532e1c7c841ae7f71871c37da911e230b8d89,OK
2026-08-29T18:16:13Z,exec,P02-005_RUNTIME_SEMANTIC_MATRIX.md,docs/handoffs/P02-005_RUNTIME_SEMANTIC_MATRIX.md,f89cf8cdeab3371f31ab8eb4b9306569bfa060eee54f3bbcd260340aa45161f3,OK
2026-08-29T18:16:13Z,exec,17_PHASE2_EXECUTION_STATUS.md,docs/Estado/17_PHASE2_EXECUTION_STATUS.md,e69242a2b761373e889574ca9878c274db283c4184a28766c1cb3ee9a0017c93,OK
2026-08-29T18:16:13Z,exec,AUDIT_FINAL_REAL_ONLY.md,docs/audits/AUDIT_FINAL_REAL_ONLY.md,fe1a85d6eb22a7783271dc0d0eae0daa6d34ab075ebe2fbdcc26f555da251942,OK
2026-08-29T18:16:13Z,exec,walkthrough.md,docs/walkthrough.md,a273eb07e75ac9416aea5283656a8fe04ae17710bf25f5196fff6671ec17171c,OK
2026-08-29T18:16:13Z,exec,informes,docs/informes,,OMITIDO_DESTINO_EXISTE
2026-08-29T18:16:13Z,exec,canonical_strategy.py,services/strategy_core/canonical_strategy.py,39e113712b1736904e021f60b9fa866fd6ab9b6d175b31e52d50351de39a2f75,OK
2026-08-29T18:16:13Z,exec,canonical_runtime_adapter.py,services/strategy_core/canonical_runtime_adapter.py,fdaa71fab0c18758156357a48529bcc4234d86a04c7b2c9327e4998e788ad58a,OK
2026-08-29T18:16:13Z,exec,canonical_instrument_aliases.json,configs/canonical_instrument_aliases.json,561ab892753ab5782ed4d13be885715ced70deb5a75cf1f1922129d0f42e8f79,OK
2026-08-29T18:16:13Z,exec,version_manifest.json,configs/version_manifest.json,3f4d0527703100118e029fc78baf754730f1c09125ffd956f919f713c7b832c7,OK
2026-08-29T18:16:13Z,exec,version_control_manager.py,scripts/herramientas/version_control_manager.py,6dd6aa76961d9560b2ce8138d571151d77857594177d50d1df4b062787b525a3,OK
2026-08-29T18:16:13Z,exec,audit_frontend_playwright.js,scripts/auditorias/audit_frontend_playwright.js,baccbed845d1f16097d1fab09a1383ee9abd7bc0fd55eb447d0306af0ab46c1a,OK
2026-08-29T18:16:13Z,exec,audit_v540_playwright.js,scripts/auditorias/audit_v540_playwright.js,776434c51d4ea6cd4ea0d532af71fc0b75d687046c2e7d2d624c95e7b5c8d53d,OK
2026-08-29T18:16:13Z,exec,test_phase01_dataset_chain_of_custody.py,tests/phase_phase/test_phase01_dataset_chain_of_custody.py,94d224240baa728dafc4dfac277de38f57baa8014549f8fa75a8fbbd5a6c4670,OK
2026-08-29T18:16:13Z,exec,test_phase02_canonical_strategy.py,tests/phase_phase/test_phase02_canonical_strategy.py,f1d113808e74b6ae35d97fa8499740b4f77a6f814624142b540f91f48f435a83,OK
2026-08-29T18:16:13Z,exec,database.sqlite,data/db/database.sqlite,94fa9f82aa0c5624c80950ef16327368c3c33cc7a8bb4608d6aff0ec0f3d6899,OK
2026-08-29T18:16:13Z,exec,learning_store.sqlite,data/db/learning_store.sqlite,244f20f3cbb2801498bfb56e2b0e29aa945d4ba9f6ef7e367d002b134439f29e,OK
2026-08-29T18:16:13Z,exec,uvicorn.log,cuarentena/logs/uvicorn.log,5da998cf2ed8c5b8d55946662b23a9e178da7913254ea3440977eefba9a4fe45,OK
2026-08-29T18:16:13Z,exec,backups,data/backups,,OMITIDO_DESTINO_EXISTE
2026-08-29T18:16:13Z,exec,bingx_ultra_strategy_lab.egg-info,cuarentena/build_artifacts/bingx_ultra_strategy_lab.egg-info,DIR:d3edce8019f5c5900158e314a32b40df4be558a45bf97232b6f055fb868f0c26,OK
2026-08-29T18:16:13Z,exec,v540_audit_screenshots,evidencia/2026-08-29/v540_audit_screenshots,DIR:5ecfd52bdbea8571f34745c2bc4ff088944cc56ff518961f1ce1b61f817ccc97,OK
2026-08-29T18:16:13Z,exec,scratch,cuarentena/scratch,,OMITIDO_DESTINO_EXISTE
2026-08-29T18:16:13Z,exec,.phase2,cuarentena/phase2,,OMITIDO_DESTINO_EXISTE
2026-08-29T18:16:13Z,exec,docs/arquitectura-orquestacion-orquestador-antigravity.md,orchestracion/arquitectura-orquestacion-orquestador-antigravity.md,8cad27d582c0a6a589538fc39e2e4bf7d3edf21980e9b1f19d0a27778d888fe1,OK
2026-08-29T18:16:38Z,exec,03_HANDOFF_AG2-P02-005.md,docs/handoffs/03_HANDOFF_AG2-P02-005.md,,OMITIDO_NO_EXISTE
2026-08-29T18:16:38Z,exec,P02-005_AGENT_LEDGER.md,docs/handoffs/P02-005_AGENT_LEDGER.md,,OMITIDO_NO_EXISTE
2026-08-29T18:16:38Z,exec,P02-005_RECON_REPORT.md,docs/handoffs/P02-005_RECON_REPORT.md,,OMITIDO_NO_EXISTE
2026-08-29T18:16:38Z,exec,P02-005_RUNTIME_SEMANTIC_MATRIX.md,docs/handoffs/P02-005_RUNTIME_SEMANTIC_MATRIX.md,,OMITIDO_NO_EXISTE
2026-08-29T18:16:38Z,exec,17_PHASE2_EXECUTION_STATUS.md,docs/Estado/17_PHASE2_EXECUTION_STATUS.md,,OMITIDO_NO_EXISTE
2026-08-29T18:16:38Z,exec,AUDIT_FINAL_REAL_ONLY.md,docs/audits/AUDIT_FINAL_REAL_ONLY.md,,OMITIDO_NO_EXISTE
